id,age,income,join_date,label,text_amazing support,text_bad experience,text_best experience,text_disappointed,text_excellent quality,text_friendly staff,text_great service,text_happy with purchase,text_loved it,text_not satisfied,text_poor quality,text_slow response,text_terrible support,text_unhelpful staff,text_very satisfied,text_worst ever,gender_F,gender_M
35,28,54376,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,42,66631,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
44,39,55547,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,43,45202,13-06-2024 00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28,47,79689,16-10-2024 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,57,57751,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,44,35801,06-11-2023 12:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
78,20,58940,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
50,36,63621,06-11-2023 12:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,43,65777,06-11-2023 12:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25,41,69974,19-04-2023 00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,27,53093,25-06-2024 00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,43,75017,06-11-2023 12:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,44,42039,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,30,75681,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
81,28,76185,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7,38,64663,12-01-2023 00:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,33,79156,16-11-2023 00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,37,34780,01-01-2023 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
90,54,77030,06-11-2023 12:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,48,34777,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
96,28,31150,06-11-2023 12:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,25,61024,12-05-2023 00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,55,58312,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70,40,30876,27-10-2024 00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
47,27,62097,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
71,35,62093,06-11-2023 12:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
62,55,78096,06-11-2023 12:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
100,39.5,31081,08-08-2023 00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
82,43,48077,21-07-2024 00:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
42,45,34495,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,45,45338,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,33,40966,22-03-2023 00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
89,54,67945,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
58,37,59749,16-07-2024 00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
76,48,37987,11-09-2023 00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,26,53355,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
97,27,53944,13-10-2023 00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,53,32491,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
64,39.5,49508,05-08-2023 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
95,26,35949,06-11-2023 12:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,23,32368,06-11-2023 12:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,34,59592,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,48,64584,06-11-2023 12:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
53,23,52677,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
22,39.5,70328,27-05-2024 00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,34,62745,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,31,70111,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
88,27,58251,08-10-2024 00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,47,38308,14-03-2023 00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
75,39.5,37079,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
87,36,44098,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
83,20,56258,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,21,5,06-11-2023 12:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
61,39.5,57236,24-06-2024 00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,37,34142,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,22,46538,06-11-2023 12:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,58,62217,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
52,59,79726,12-03-2023 00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
